-0.4307829,-1.63735562648104 -2.00621178480549
-0.1625189,-1.98898046126935 -0.722008756122123
-0.1625189,-1.57881887548545 -2.1887840293994
-0.1625189,-2.16691708463163 -0.807993896938655
0.3715636,-0.507874475300631 -0.458834049396776
0.7654678,-2.03612849966376 -0.933954647105133
0.8544153,-0.557312518810673 -0.208756571683607
1.2669476,-0.929360463147704 -0.0578991819441687
1.2669476,-2.28833047634983 -0.0706369432557794
1.2669476,0.223498042876113 -1.41471935455355
1.3480731,0.107785900236813 -1.47221551299731
1.446919,0.162180092313795 -1.32557369901905
1.4701758,-1.49795329918548 -0.263601072284232
1.4929041,0.796247055396743 0.0476559407005752
1.5581446,-1.62233848461465 -0.843294091975396
1.5993876,-0.990720665490831 0.458513517212311
1.6389967,-0.171901281967138 -0.489197399065355
1.6956156,-1.60758252338831 -0.590700340358265
1.7137979,0.366273918511144 -0.414014962912583
1.8000583,-0.710307384579833 0.211731938156277
1.8484548,-0.262791728113881 -1.16708345615721
1.8946169,0.899043117369237 -0.590700340358265
1.9242487,-0.903451690500615 1.07659722048274
2.008214,-0.0633337899773081 -1.38088970920094
2.0476928,-1.15393789990757 -0.961853075398404
2.1575593,0.0620203721138446 0.0657973885499142
2.1916535,-0.75731027755674 -2.92717970468456
2.2137539,1.11226993252773 1.06484916245061
2.2772673,-0.468768642850639 -1.43754788774533
2.2975726,-0.618884859896728 -1.1366360750781
2.3272777,-0.651431999123483 0.55329161145762
2.5217206,0.115499102435224 -0.512233676577595
2.5533438,0.266341329949937 -0.551137885443386
2.5687881,1.16902610257751 0.855491905752846
2.6567569,-0.218972367124187 0.851192298581141
2.677591,0.263121415733908 1.4142681068416
2.7180005,-0.0704736333296423 1.52000996595417
2.7942279,-0.751957286017338 0.316843561689933
2.8063861,-0.685277652430997 1.28214038482516
2.8124102,-0.244991501432929 0.51882005949686
2.8419982,-0.75731027755674 2.09041984898851
2.8535925,1.20962937075363 -0.242882661178889
2.9204698,0.570886990493502 0.58243883987948
2.9626924,0.719758684343624 0.984970304132004
2.9626924,-1.52406140158064 1.81975700990333
2.9729753,-0.132431544081234 2.68769877553723
3.0130809,0.436161292804989 -0.0834447307428255
3.0373539,-0.161195191984091 -0.671900359186746
3.2752562,1.39927182372944 0.513852869452676
3.3375474,1.51967002306341 -0.852203755696565
3.3928291,0.560725834706224 1.87867703391426
3.4355988,1.00765532502814 1.69426310090641
3.4578927,1.10152996153577 -0.10927271844907
3.5160131,0.100001934217311 -1.30380956369388
3.5307626,0.987291634724086 -0.36279314978779
3.5652984,1.07158528137575 0.606453149641961
3.5876769,0.180156323255198 0.188987436375017
3.6309855,1.65687973755377 -0.256675483533719
3.6800909,0.5720085322365 0.239854450210939
3.7123518,0.323806133438225 -0.606717660886078
3.9843437,1.23668206715898 2.54220539083611
3.993603,0.180156323255198 0.154448192444669
4.029806,1.60906277046565 1.10378605019827
4.1295508,1.0036214996026 0.113496885050331
4.3851468,1.25591974271076 0.577607033774471
4.6844434,2.09650591351268 0.625488598331018
5.477509,1.30028987435881 0.338383613253713
